,Country,City,Latitude,temp_min,temp_max,humid,wind_speed,cloud,found_city,url
2049169,nz,morton mains,-46.333333,49.08,49.08,88,2.75,68,morton mains,"http://api.openweathermap.org/data/2.5/weather?q=morton mains,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049262,nz,niagara,-46.6,56.91,56.91,89,3.2,48,niagara,"http://api.openweathermap.org/data/2.5/weather?q=niagara,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049293,nz,ocean grove,-45.9,56.82,56.82,99,10.54,36,ocean grove,"http://api.openweathermap.org/data/2.5/weather?q=ocean grove,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049301,nz,ohaupo,-37.916667,62.35,62.35,91,8.3,80,ohaupo,"http://api.openweathermap.org/data/2.5/weather?q=ohaupo,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049402,nz,orawia,-46.05,49.89,49.89,92,3.27,32,orawia,"http://api.openweathermap.org/data/2.5/weather?q=orawia,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049406,nz,oreti plains,-46.133333,49.89,49.89,92,3.27,32,oreti plains,"http://api.openweathermap.org/data/2.5/weather?q=oreti plains,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049459,nz,outram,-45.866667,51.46,51.46,91,3.2,48,outram,"http://api.openweathermap.org/data/2.5/weather?q=outram,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049554,nz,patearoa,-45.266667,51.87,51.87,94,2.71,80,patearoa,"http://api.openweathermap.org/data/2.5/weather?q=patearoa,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049585,nz,piko piko,-46.116667,49.89,49.89,92,3.27,32,piko piko,"http://api.openweathermap.org/data/2.5/weather?q=piko piko,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049587,nz,pine bush,-46.466667,49.08,49.08,88,2.75,68,pine bush,"http://api.openweathermap.org/data/2.5/weather?q=pine bush,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049642,nz,portobello,-45.85,51.46,51.46,91,3.2,48,portobello,"http://api.openweathermap.org/data/2.5/weather?q=portobello,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049720,nz,quarry hills,-46.55,56.91,56.91,89,3.2,48,quarry hills,"http://api.openweathermap.org/data/2.5/weather?q=quarry hills,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049723,nz,queenstown,-45.01,39.85,39.85,96,1.7,32,queenstown,"http://api.openweathermap.org/data/2.5/weather?q=queenstown,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049724,nz,raes junction,-45.783333,42.28,42.28,87,2.75,44,raes junction,"http://api.openweathermap.org/data/2.5/weather?q=raes junction,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049825,nz,roslyn bush,-46.35,49.08,49.08,88,2.75,68,roslyn bush,"http://api.openweathermap.org/data/2.5/weather?q=roslyn bush,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049879,nz,sawyers bay,-45.833333,51.46,51.46,91,3.2,48,sawyers bay,"http://api.openweathermap.org/data/2.5/weather?q=sawyers bay,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049923,nz,springhills,-46.183333000000005,49.08,49.08,88,2.75,68,springhills,"http://api.openweathermap.org/data/2.5/weather?q=springhills,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049933,nz,stirling,-46.25,51.55,51.55,88,3.09,36,stirling,"http://api.openweathermap.org/data/2.5/weather?q=stirling,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2049948,nz,sutton,-45.566666999999995,51.46,51.46,91,3.2,48,sutton,"http://api.openweathermap.org/data/2.5/weather?q=sutton,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2050152,nz,the key,-45.55,42.6,42.6,87,2.3,48,the key,"http://api.openweathermap.org/data/2.5/weather?q=the key,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
2050174,nz,tirohanga,-46.433333000000005,57.2,57.2,82,2.24,36,tirohanga,"http://api.openweathermap.org/data/2.5/weather?q=tirohanga,nz&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
